fips,pm25_2000,pm25_2001,pm25_2002,pm25_2003,pm25_2004,pm25_2005,pm25_2006,pm25_2007,pm25_2008,pm25_2009,pm25_2010,pm25_2011,pm25_2012,pm25_2013,pm25_2014,pm25_2015,pm25_2016,pm25_2017,pm25_2018
8019,3.1710403,3.0158388,2.388284911,2.243580131,2.145735708,2.588284911,2.448172446,3.010965323,3.151827554,2.508528585,2.253420806,2.658575445,2.73552015,2.429147142,1.727272727,1.262136832,1.251077788,2.839550141,3.080412371
8039,5.686014827,5.47281106,6.525185334,5.058825887,4.384131437,4.44261671,4.770106191,5.023161691,4.28946103,4.265157283,4.126127029,4.199539171,4.441935484,3.243338008,2.89643358,3.23452214,2.946824284,4.14994991,4.756020838
8047,3.373566085,3.125187032,2.745386534,2.609476309,2.559351621,2.827680798,2.565336658,3.171571072,3.303990025,2.645137157,2.413216958,2.733167082,2.887780549,2.612219451,1.957107232,1.489775561,1.608229426,3.26234414,3.408478803
8051,3.805432665,4.352802292,2.919679083,3.148378223,3.270326648,3.166555874,3.063197708,3.520538682,3.524309456,3.018074499,2.898063037,3.538739255,3.084148997,3.833318052,2.492790831,1.952790831,1.561031519,1.715988539,2.321719198
8057,4.020740741,4.224870932,3.38630752,3.389674523,3.576026936,3.406015713,3.43382716,3.709113356,3.811829405,3.099551066,3.138271605,3.477104377,3.871492705,3.711425365,2.52312009,2.332570146,1.904511785,2.392166105,2.85308642
8065,2.972825024,3.554643206,2.331573803,2.435777126,2.486217009,2.822678397,2.83998045,3.031573803,3.20058651,2.499120235,2.50400782,3.024731183,2.615542522,3.111925709,1.994819159,1.39315738,1.089051808,1.936070381,2.254349951
8067,3.88391702,4.823957172,3.399263886,3.66312737,3.16649565,3.128819987,2.370443899,3.100513049,3.188579077,2.791456614,2.974905197,3.034307383,2.917287531,3.601003792,2.3474236,2.228373857,1.756569262,1.706156592,2.588980593
8071,5.769972869,5.52928503,6.803894031,5.107197574,4.037264603,4.231814555,4.497526333,5.245834663,4.891677306,4.319254708,4.056838493,5.152968401,4.629213214,4.455202681,4.147614108,3.526907118,3.885596872,4.922223109,5.32313278
8075,5.621625372,5.127254708,5.227571853,4.961030723,4.091813677,3.92172448,4.109296333,4.726303271,4.010782953,3.877066402,3.977760159,3.945649158,4.85135778,3.471833499,3.623349851,3.79877106,2.798116947,3.35851338,3.882874133
8077,4.762559399,5.306575312,3.865366339,3.833307548,3.884274505,3.633506465,3.405426014,3.985490109,3.775080119,3.408719195,3.391921759,3.791977014,3.847938999,4.46327771,3.098817549,2.898640734,2.171024423,1.90806719,2.830423251
8083,4.043509033,4.922648538,3.455298938,3.860160179,3.156621345,3.089234494,2.48377724,3.172974483,3.152765878,2.823933693,3.0031477,3.044049171,3.080797169,3.686235798,2.645315701,2.446228348,1.871968709,1.67155895,2.530210467
8085,5.083344338,5.792390228,4.269792011,4.302591614,4.210515021,3.743694289,3.307939914,4.005133707,3.869280291,3.521739848,3.572548696,3.997375371,3.92832618,4.597111258,3.176064708,3.026510399,2.340227798,1.517679102,2.409508088
8093,3.268309033,4.002698173,2.849840791,2.917412435,3.043036702,3.097519692,2.854734372,3.568677728,3.4647394,2.920596615,2.901407743,3.161605497,2.921032345,3.053209318,2.300033518,1.738964304,1.586375063,2.337942014,2.773437238
8099,7.538730804,6.282565492,8.668676603,6.103093948,5.133762421,5.235049684,5.396680217,6.651467931,5.914769648,5.335794941,4.763911472,5.757249322,6.17962963,5.773735321,4.987217706,4.486630533,4.827235772,5.710772358,6.504945799
8101,7.088708164,6.858429778,7.787175477,6.410478574,5.611057241,5.217360025,5.196465436,5.78656553,5.243400063,4.879558962,4.860040663,5.601595246,5.336190178,5.149859243,4.659196121,4.347732249,4.505380044,4.671113544,5.103534564
8103,4.392692132,4.834915371,3.531655993,3.473902104,3.651932754,3.610464318,3.45133806,4.083314273,3.766674291,3.220048033,3.255775389,3.661916743,4.219247484,4.226452425,2.908920403,3.011436414,2.185132662,2.617360476,3.295882891
